"Item Number","Category","Vendor Number","Pack","Bottle Volume (ml)","State Bottle Retail","County","Store Number","City","Bottles Sold","Popularity"
159,1011400,"085",6,750,23.36,81,242,125,3146,"Unpopular"
227,1012300,"420",2,750,74.99,5,8,5,552,"Unpopular"
238,1701100,"962",6,375,15,9,15,12,83,"Unpopular"
258,1081200,"305",1,6000,148.5,37,99,51,1032,"Unpopular"
266,1701100,"410",12,750,41.25,65,202,91,11091,"Unpopular"
287,1701100,"420",6,750,39.74,19,35,25,516,"Unpopular"
308,1011400,"085",6,750,41.24,49,124,63,1126,"Unpopular"
314,1701100,"255",4,750,39.2,20,25,21,100,"Unpopular"
322,1081300,"086",24,200,4.5,15,15,15,268,"Unpopular"
399,1701100,"065",1,6000,97.2,35,76,45,250,"Unpopular"
428,1701100,"065",6,750,22.61,68,180,105,1496,"Unpopular"
430,1701100,"065",12,50,3,73,258,114,16849,"Unpopular"
434,1701100,"065",6,750,15.75,101,469,169,9103,"Unpopular"
447,1700000,"065",6,750,30,76,236,116,4505,"Unpopular"
457,NA,"065",6,750,31.49,44,102,58,599,"Unpopular"
458,1701100,"322",6,750,22.5,9,12,11,52,"Unpopular"
464,1012300,"420",6,850,35.24,32,92,44,3119,"Unpopular"
470,1011400,"085",6,750,23.36,100,434,169,8557,"Unpopular"
479,1701100,"394",12,50,6.75,24,32,29,313,"Unpopular"
483,1701100,"370",6,750,14.99,64,178,89,2414,"Unpopular"
494,1701100,"035",3,1750,53.13,35,62,40,896,"Unpopular"
498,1701100,"085",6,750,23.36,68,217,105,3594,"Unpopular"
499,1701100,"085",6,750,18.26,28,51,34,624,"Unpopular"
500,1701100,"085",6,750,18.26,18,34,23,240,"Unpopular"
502,1701100,"085",6,750,23.36,40,79,56,1206,"Unpopular"
522,1700000,"065",6,750,26.25,88,334,126,10274,"Unpopular"
525,1701100,"065",6,750,26.25,63,194,95,4733,"Unpopular"
529,1012300,"035",6,750,54,17,35,24,228,"Unpopular"
550,1701100,"065",6,750,11.03,19,29,23,600,"Unpopular"
557,1081300,"305",15,400,6,83,207,112,13773,"Unpopular"
558,1701100,"260",4,1750,47.99,69,200,98,5218,"Unpopular"
559,NA,"255",4,750,39.2,8,9,8,15,"Unpopular"
567,1701100,"065",6,750,32.25,15,23,19,104,"Unpopular"
614,1701100,"305",6,750,19.5,87,312,132,7655,"Unpopular"
643,1022200,"395",6,750,16.61,56,197,81,3989,"Unpopular"
647,1701100,"370",6,800,16.46,71,233,107,3521,"Unpopular"
664,1070000,"557",12,100,14.25,23,38,30,245,"Unpopular"
678,1701100,"035",6,750,30,20,31,23,179,"Unpopular"
693,1701100,"085",6,750,23.36,33,56,41,535,"Unpopular"
699,1011200,"085",6,750,33.74,81,248,109,4147,"Unpopular"
725,1701100,"065",1,6000,78.75,17,29,23,50,"Unpopular"
