"","month","month_p"
"1",1,25.69949746
"2",2,33.29236138
"3",3,19.18867938
"4",4,25.0247531
"5",5,25.59774938
"6",6,25.08216555
"7",7,27.30106999
"8",8,29.66640696
"9",9,26.65664663
"10",10,25.75723122
"11",11,28.39315221
"12",12,32.40132188
"13",13,26.18667625
"14",14,35.02501889
"15",15,24.1268016
"16",16,26.53712768
"17",17,25.0011392
"18",18,26.15199176
"19",19,31.39341787
"20",20,28.7846767
"21",21,28.7917392
"22",22,28.9835002
"23",23,29.07945929
"24",24,31.02617801
"25",25,31.46219212
"26",26,33.2167165
"27",27,26.07982313
"28",28,25.26266888
"29",29,30.21972902
"30",30,31.32976846
"31",31,30.71294725
"32",32,33.66665442
"33",33,35.14288944
"34",34,31.50464513
"35",35,34.2387846
"36",36,38.75100994
"37",37,35.32468844
"38",38,31.21283899
"39",39,35.76237822
"40",40,32.29327652
"41",41,31.65592708
"42",42,33.22054395
"43",43,36.5952398
"44",44,36.19781322
"45",45,34.3622107
"46",46,34.02510307
"47",47,35.86113555
"48",48,37.93677914
"49",49,25.73244027
