"","week","week_p"
"1",1,5.47468574
"2",2,6.82022779
"3",3,7.09936937
"4",4,3.47547433
"5",5,7.61569198
"6",6,8.18924834
"7",7,7.42544117
"8",8,6.92864775
"9",9,5.96307237
"10",10,5.47256414
"11",11,5.26452412
"12",12,4.61963595
"13",13,5.01837834
"14",14,5.42877393
"15",15,6.27032722
"16",16,5.43743778
"17",17,5.53664229
"18",18,5.58787886
"19",19,6.18316076
"20",20,5.56984934
"21",21,5.36460847
"22",22,5.98521077
"23",23,6.36262373
"24",24,6.50046196
"25",25,5.67709311
"26",26,6.27660051
"27",27,7.08497492
"28",28,6.5695513
"29",29,6.03822777
"30",30,5.94589213
"31",31,7.03028704
"32",32,6.57032329
"33",33,6.68827978
"34",34,5.97910782
"35",35,7.90166699
"36",36,4.54467859
"37",37,6.58939617
"38",38,6.16772819
"39",39,6.45184189
"40",40,6.92243978
"41",41,6.55386167
"42",42,6.34541168
"43",43,5.96538776
"44",44,6.10779742
"45",45,7.10755393
"46",46,6.2365976
"47",47,5.9331456
"48",48,6.06277636
"49",49,7.84920372
"50",50,7.66327205
"51",51,7.21664296
"52",52,7.21457487
"53",53,6.5963021
"54",54,7.33542959
"55",55,7.76654661
"56",56,4.03740756
"57",57,7.99903164
"58",58,8.64438891
"59",59,8.68234425
"60",60,7.92302822
"61",61,7.93597163
"62",62,5.0176829
"63",63,4.93749644
"64",64,4.05150968
"65",65,6.28978079
"66",66,5.31886361
"67",67,6.67606098
"68",68,5.82088172
"69",69,6.04431752
"70",70,6.15943364
"71",71,7.19714011
"72",72,6.37167527
"73",73,5.09773429
"74",74,5.48886588
"75",75,6.21199117
"76",76,5.81192197
"77",77,6.13340676
"78",78,7.04604542
"79",79,6.46774231
"80",80,6.97126529
"81",81,7.69280249
"82",82,5.85642546
"83",83,8.65940956
"84",84,6.6583067
"85",85,6.95068879
"86",86,6.85788621
"87",87,8.33824759
"88",88,6.29928063
"89",89,6.47149439
"90",90,5.95256481
"91",91,6.72038259
"92",92,7.76381476
"93",93,6.0769573
"94",94,5.95218509
"95",95,6.53716817
"96",96,6.00406621
"97",97,7.72387148
"98",98,6.34593846
"99",99,6.10896961
"100",100,7.89933168
"101",101,7.31741661
"102",102,8.28878523
"103",103,7.70061323
"104",104,6.73695367
"105",105,7.20551177
"106",106,7.2106849
"107",107,7.29804592
"108",108,8.0825743
"109",109,6.10488446
"110",110,7.83776159
"111",111,7.75105866
"112",112,8.3600234
"113",113,8.00523884
"114",114,5.47285066
"115",115,5.43883582
"116",116,5.05027907
"117",117,5.80518968
"118",118,5.81877668
"119",119,6.57833706
"120",120,5.91403123
"121",121,6.63766543
"122",122,6.53094873
"123",123,6.9720257
"124",124,7.10060424
"125",125,7.11162009
"126",126,7.17528741
"127",127,6.43525392
"128",128,7.92728504
"129",129,7.08948806
"130",130,7.37107929
"131",131,7.72117209
"132",132,7.90009871
"133",133,7.90198245
"134",134,5.75694416
"135",135,9.04071504
"136",136,7.88557216
"137",137,7.55483131
"138",138,8.14198479
"139",139,8.78984879
"140",140,8.41047576
"141",141,7.23123796
"142",142,7.24348578
"143",143,7.0613069
"144",144,7.80407884
"145",145,7.84746568
"146",146,7.42170852
"147",147,8.06551798
"148",148,8.92601574
"149",149,6.49562115
"150",150,9.2640966
"151",151,7.92817521
"152",152,9.18130604
"153",153,9.22454629
"154",154,8.8077771
"155",155,8.63388392
"156",156,7.99624964
"157",157,8.32170126
"158",158,8.13225856
"159",159,7.48206587
"160",160,8.1667938
"161",161,6.43535915
"162",162,7.60118739
"163",163,9.06627691
"164",164,9.0789261
"165",165,9.58831972
"166",166,7.04312607
"167",167,6.84852995
"168",168,7.1917501
"169",169,7.43753666
"170",170,7.11195546
"171",171,7.41128297
"172",172,7.53220733
"173",173,7.38242732
"174",174,7.13737498
"175",175,7.90928487
"176",176,7.83790316
"177",177,7.88476756
"178",178,8.09672447
"179",179,7.86722436
"180",180,7.88374092
"181",181,7.78727028
"182",182,8.37113767
"183",183,7.95871916
"184",184,9.19118709
"185",185,8.04178949
"186",186,8.08668748
"187",187,6.78191159
"188",188,9.71717408
"189",189,9.03656779
"190",190,8.32658653
"191",191,8.46930836
"192",192,8.34828233
"193",193,8.36050073
"194",194,7.39646669
"195",195,8.34048082
"196",196,7.37977477
"197",197,7.89827676
"198",198,7.79374101
"199",199,7.95632637
"200",200,9.47393524
"201",201,6.89113858
"202",202,9.42979604
"203",203,7.80098823
"204",204,7.81954727
"205",205,9.38878465
"206",206,10.79691241
"207",207,8.9246052
"208",208,8.58103944
"209",209,6.36178569
